id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
239,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,22,ORANG,2018
240,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,6284401,ORANG,2018
241,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,1594,ORANG,2018
242,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,6113245,ORANG,2018
243,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,6,ORANG,2018
244,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,6707377,ORANG,2018
245,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,25,ORANG,2018
246,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,2088274,ORANG,2018
247,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,10,ORANG,2018
248,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,13823704,ORANG,2018
249,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,701,ORANG,2018
250,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,7149,ORANG,2018
251,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,212269,ORANG,2018
252,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,14665,ORANG,2018
253,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,10,ORANG,2018
254,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,316484,ORANG,2018
255,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,2176487,ORANG,2018
256,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,8296011,ORANG,2018
257,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,6492,ORANG,2018
258,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1470984,ORANG,2018
259,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,355,ORANG,2018
260,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,908450,ORANG,2018
261,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,25,ORANG,2018
262,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,66799,ORANG,2018
263,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,63,ORANG,2018
264,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,16418,ORANG,2018
265,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,235,ORANG,2018
266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,310902,ORANG,2018
267,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,10,ORANG,2018
268,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,73232,ORANG,2018
269,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,26264,ORANG,2019
270,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,2670203,ORANG,2019
271,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,35613,ORANG,2019
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,942362,ORANG,2019
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,209987,ORANG,2019
274,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,4690818,ORANG,2019
275,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,15277,ORANG,2019
276,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,2564301,ORANG,2019
277,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,37123,ORANG,2019
278,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2885102,ORANG,2019
279,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,4305,ORANG,2019
280,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1482639,ORANG,2019
