id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,sektor_wisata,jumlah_pendapatan,satuan,tahun
199,32,JAWA BARAT,3276,KOTA DEPOK,HIBURAN,2464074076,RUPIAH,2015
200,32,JAWA BARAT,3276,KOTA DEPOK,RETRIBUSI,80050000,RUPIAH,2015
201,32,JAWA BARAT,3277,KOTA CIMAHI,HOTEL,49850000,RUPIAH,2015
202,32,JAWA BARAT,3277,KOTA CIMAHI,RESTORAN/RUMAH MAKAN,2314031334,RUPIAH,2015
203,32,JAWA BARAT,3277,KOTA CIMAHI,HIBURAN,68801500,RUPIAH,2015
204,32,JAWA BARAT,3277,KOTA CIMAHI,RETRIBUSI,35052000,RUPIAH,2015
205,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HOTEL,212246553,RUPIAH,2015
206,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RESTORAN/RUMAH MAKAN,396043510,RUPIAH,2015
207,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIBURAN,14168376,RUPIAH,2015
208,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RETRIBUSI,12537000,RUPIAH,2015
209,32,JAWA BARAT,3279,KOTA BANJAR,HOTEL,356512600,RUPIAH,2015
210,32,JAWA BARAT,3279,KOTA BANJAR,RESTORAN/RUMAH MAKAN,2033850186,RUPIAH,2015
211,32,JAWA BARAT,3279,KOTA BANJAR,HIBURAN,55336752,RUPIAH,2015
212,32,JAWA BARAT,3279,KOTA BANJAR,RETRIBUSI,993961250,RUPIAH,2015
213,32,JAWA BARAT,3201,KABUPATEN BOGOR,HOTEL,0,RUPIAH,2016
214,32,JAWA BARAT,3201,KABUPATEN BOGOR,RESTORAN/RUMAH MAKAN,27946638075,RUPIAH,2016
215,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIBURAN,7077430815,RUPIAH,2016
216,32,JAWA BARAT,3201,KABUPATEN BOGOR,RETRIBUSI,485255100,RUPIAH,2016
217,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HOTEL,0,RUPIAH,2016
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RESTORAN/RUMAH MAKAN,0,RUPIAH,2016
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIBURAN,0,RUPIAH,2016
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RETRIBUSI,1108916000,RUPIAH,2016
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HOTEL,0,RUPIAH,2016
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RESTORAN/RUMAH MAKAN,0,RUPIAH,2016
223,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HIBURAN,0,RUPIAH,2016
224,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RETRIBUSI,0,RUPIAH,2016
225,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HOTEL,2311227053,RUPIAH,2016
226,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RESTORAN/RUMAH MAKAN,6894597594,RUPIAH,2016
227,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIBURAN,706313905,RUPIAH,2016
228,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RETRIBUSI,0,RUPIAH,2016
229,32,JAWA BARAT,3205,KABUPATEN GARUT,HOTEL,933880000,RUPIAH,2016
230,32,JAWA BARAT,3205,KABUPATEN GARUT,RESTORAN/RUMAH MAKAN,0,RUPIAH,2016
231,32,JAWA BARAT,3205,KABUPATEN GARUT,HIBURAN,1500000,RUPIAH,2016
232,32,JAWA BARAT,3205,KABUPATEN GARUT,RETRIBUSI,392784000,RUPIAH,2016
233,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HOTEL,25824000,RUPIAH,2016
234,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RESTORAN/RUMAH MAKAN,171997090,RUPIAH,2016
235,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIBURAN,7084585,RUPIAH,2016
236,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RETRIBUSI,137189000,RUPIAH,2016
237,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HOTEL,511361013,RUPIAH,2016
238,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RESTORAN/RUMAH MAKAN,2703033825,RUPIAH,2016
239,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIBURAN,142513850,RUPIAH,2016
240,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RETRIBUSI,626116800,RUPIAH,2016
241,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HOTEL,2279517632,RUPIAH,2016
242,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RESTORAN/RUMAH MAKAN,2379321635,RUPIAH,2016
243,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIBURAN,501129332,RUPIAH,2016
244,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RETRIBUSI,420533450,RUPIAH,2016
245,32,JAWA BARAT,3209,KABUPATEN CIREBON,HOTEL,826000000,RUPIAH,2016
246,32,JAWA BARAT,3209,KABUPATEN CIREBON,RESTORAN/RUMAH MAKAN,497740000,RUPIAH,2016
247,32,JAWA BARAT,3209,KABUPATEN CIREBON,HIBURAN,410000000,RUPIAH,2016
